Référence vue sur idealo;Prix le plus bas vu (€);Classe;Titre de la tuile
DCS334M1;294,63;variante absente;DeWalt DCS334M1 Scie sauteuse sans fil 18V Brushless + 1x Batterie 4,0
DCS334M2;352,47;variante absente;DeWalt DCS 334 M2 Scie sauteuse sans fil à mouvement alternatif 18 V B
DCS334P1;302,66;variante absente;DeWalt DCS 334 P1 Scie sauteuse pendulaire sans fil Brushless 18V + 1x
DCS334P1T;313;variante absente;Scie sauteuse pendulaire DeWALT DCS334P1T (1 x 5,0 Ah + DCB115 + TSTAK
DCS334P2;368,53;variante absente;DeWalt DCS 334 P2 Scie sauteuse pendulaire sans fil Brushless 18V + 2x
DCS335H1;392,07;variante absente;DeWalt DCS 335 H1 Scie sauteuse sans fil 18 V 135 mm Brushless + 1x ba
DCS335M1;347,08;variante absente;DeWalt DCS 335 M1 Scie sauteuse sans fil 18V + 1x Batterie 4,0 Ah + Ch
DCS335M2;408,13;variante absente;DeWalt DCS 335 M2 Scie sauteuse sans fil 18V + 2x Batteries 4,0 Ah + C
DCS335NT;199,87;variante absente;DeWalt DCS335NT Solo in TSTAK
DCS335NT-XJ;343,5;variante absente;DeWalt Scie Sauteuse à Prise par le Corps Brushless XR 18V - DCS335NT-
DCS335P1;360,98;variante absente;DeWalt DCS 335 P1 Scie sauteuse sans fil 18V + 1x Batterie 5,0 Ah + Ch
DCS335P2;374,9;variante absente;DeWalt DCS335P2
DCS350;333,84;variante absente;DeWalt DCS350
DCS350N-XJ;379,44;variante absente;DeWalt 18V XR Threaded Rod Cutter - Bare Unit DCS350N-XJ
DCS353;127,44;variante absente;DeWalt DCS353
DCS353D2;229,9;variante absente;DeWalt DCS353D2
DCS353N;127,44;variante absente;DeWalt DCS353N
DCS353NT-XJ;159;variante absente;DeWalt DCS353NT-XJ
DCS355D1;181,16;variante absente;DeWalt DCS355D1
DCS355D2;199,7;variante absente;DeWalt DCS355D2
DCS355D2-QW;390,18;variante absente;DEWALT - Multi-Cutter Brushless - XR 18V - DCS355D2-QW - Multi-Cutter 
DCS355D2T-7;264;variante absente;DeWalt DCS355D2T-7
DCS355E1;213,34;variante absente;DeWalt DCS 355 E1 Oscillateur sans fil Multitool 18 V Brushless + 1x b
DCS355E2;280,82;variante absente;DeWalt DCS 355 E2 Oscillateur sans fil Multitool 18 V Brushless + 2x P
DCS355M1;245,87;variante absente;DeWalt DCS355M1 Outil oscillant multi-cutter sans fil 18V Brushless + 
DCS355M1-QW;229,32;variante absente;Dewalt DCS355M1-QW Multi-Cutter Sans Fil XR 18V 1 X 4.0Ah Li-Ion Sans 
DCS355M2;153,46;variante absente;DeWalt DCS355M2 + 2x Batterie 4,0 Ah + Chargeur + Accessoires + TSTAK
DCS355P1;252,52;variante absente;DeWalt DCS355P1 (1x 5 Ah + chargeur + ensemble d'accessoires 29 pièces
DCS355P1-QW;239,75;variante absente;Dewalt DCS355P1-QW Multi-Cutter Sans Fil XR 18V 1 X 5.0Ah Li-Ion Sans 
DCS355P1T;260;variante absente;DeWalt DCS355P1T
DCS355P2;325,23;variante absente;DeWalt DCS355P2 (2x 5 Ah + Chargeur + Ensemble accessoires 29 pièces +
DCS355P2-QW;305,82;variante absente;Dewalt DCS355P2-QW Multi-Cutter Sans Fil XR 18V 2 X 5.0Ah Li-Ion Sans 
DCS355P2T;337;variante absente;DeWalt DCS355P2T (2 x 5,0 Ah + chargeur + TSTAK II)
DCS356;146,82;variante absente;DeWalt DCS356
DCS356B;150,7;variante absente;DeWalt DCS356B
DCS356D1;249,92;variante absente;DEWALT Kit d'outils multifonctions oscillants XR 20 V MAX à vitesse va
DCS356E1T-XJ;246,46;variante absente;DeWalt DCS356E1T-XJ
DCS356M1;280,17;variante absente;DeWalt DCS356M1
DCS356M2;360,5;variante absente;Outil multifonction sans fil DeWalt DCS 356 M2 18 V sans balais + 2 ba
DCS356N;146,82;variante absente;DeWalt DCS356N 18 V
DCS356N-XJ;149,5;variante absente;DeWALT DCS356N-XJ Outil multifonction (18V) sans fil (sans batterie)
DCS356P1-QW;269,81;variante absente;Dewalt DCS356P1-QW Outil multifonction 18V XR (1x5,0 Ah) en coffret T-
DCS356P2;371,74;variante absente;DeWalt DCS356P2
DCS356P2-QW;293,56;variante absente;DeWalt DCS356P2-QW
DCS365M2;725,63;variante absente;DeWalt DCS365M2 XR XPS Scie à Onglets sans Fil 184mm 18V (DCS365M2)
DCS365P2;776,15;variante absente;DeWalt DCS365P2
DCS367H2T-QW;472,72;variante absente;DeWalt DCS367H2T-QW
DCS367P2;449,49;variante absente;DeWalt DCS367P2
DCS367P2-QW;446,27;variante absente;DeWALT DCS367P2-QW Kit De Scie Sabre Sans Fil Li-ion XR 18 V (2 Batter
DCS367P2-QW-;609,9;variante absente;Scie sabre compact XR 18V 5 Ah Li-Ion brushless DCS367P2-QW- 2 batteri
DCS367P2-XJ;439,13;variante absente;DeWalt DCS367P2-XJ
DCS369D2;302,1;variante absente;DeWalt DCS369D2
DCS369E1T-XJ;270,42;variante absente;DeWalt DCS369E1T-XJ
DCS369E2;321,38;variante absente;DeWalt DCS 369 E2 Akku Sbelsge Reciprosge 18 V Brushless + 2x Powersta
DCS369M1;241,06;variante absente;DeWalt DCS 369 M1 Scie Sabre sans Fil 18V Brushless (DCS369M1)
DCS369M2;317,1;variante absente;DeWalt DCS 369 M2 Scie sabre sans fil Scie réversible 18 V Brushless +
DCS369M2-QW;259,9;variante absente;DeWalt DCS369M2-QW
DCS369P1;245,87;variante absente;DeWalt DCS 369 P1 Scie sabre sans fil, réversible Brushless 18V + 1x B
DCS369P1T-QW;258,62;variante absente;Dewalt DCS369P1T-QW Scie sabre XR 18V 1 X 5.0 Ah batteries + chargeur 
DCS369P2;311,74;variante absente;DeWalt DCS 369 P2 Scie sabre sans fil Scie réversible Brushless 18V + 
DCS369P2T;339,8;variante absente;DeWalt DCS369P2T
DCS373M2;545,91;variante absente;DeWalt DCS373M2 Scie Circulaire à Métaux 18,0 Volt sur Batterie
DCS373NT;259,09;variante absente;DeWalt DCS373NT
DCS378N-XJ;356,9;variante absente;DeWalt DCS378N-XJ
DCS380M2;349,75;variante absente;DeWalt DCS380M2
DCS380N;179,64;variante absente;DeWalt DCS380N
DCS382NT-XJ;199,02;variante absente;DeWalt DCS382NT-XJ
DCS383H2;703,93;variante absente;Scie circulaire sans fil Dewalt 184 mm pour couper le métal 18 V XR, 2
DCS383H2-QW;744,85;variante absente;Dewalt DCS383H2-QW Scie circulaire à métaux 18V XR 190mm - 2 x 5,0Ah B
DCS386H2T;513,94;variante absente;DeWALT - Scie sabre à batterie 18 V, 2 batteries 5,0 Ah DCS386H2T
DCS386T1;539,04;variante absente;DeWalt DCS386T1
DCS389;268,66;variante absente;DeWalt DCS389
DCS389N;312,45;variante absente;DeWalt DCS389N
DCS389T2;810,08;variante absente;DeWalt DCS389T2 Scie sabre sans fil FlexVolt 54V, 2x 6Ah (DCS389T2)
DCS389T2-QW;559,01;variante absente;DeWalt DCS389T2-QW with 2x6,0Ah battery and charger in TSTAK VI
DCS389X2;980,34;variante absente;DeWalt DCS389X2 Scie Sabre Sans Fil FlexVolt 54V 2x9Ah (DCS389X2-GB)
DCS389X2-QW;636,18;variante absente;DeWalt DCS389X2-QW
DCS391;155,08;variante absente;DeWalt DCS391
DCS391N;155,08;variante absente;DeWalt DCS391N (sans batterie + chargeur)
DCS391NT;194,83;variante absente;DeWalt DCS391NT (sans batterie + T-STAK Box VI)
DCS391NT-XJ;352,44;variante absente;DEWALT - Scie Circulaire XR 18V - DCS391NT-XJ - Scie Circulaire sans F
DCS391P1;284,26;variante absente;Dewalt DCS391P1 Scie circulaire XR Li-Ion 18V 1 x 5.0Ah, chargeur et T
DCS391P2;347;variante absente;DeWalt DCS391P2 (2x 5,0 Ah + charger + TSTAK VI)
DCS391XR;232,94;variante absente;DeWalt DCS391XR (sans chargeur)
DCS438E2T-QW;341,84;variante absente;DeWalt DCS438E2T-QW (2 x 1,7 Ah + chargeur + Tstak box)
DCS491N;246,98;variante absente;DeWalt DCS491N
DCS491NT;284,99;variante absente;DeWalt DCS491NT
DCS512NT-XJ;179,94;variante absente;DeWalt DCS512NT-XJ
DCS512P2-QW;241,63;variante absente;DeWalt DCS512P2-QW
DCS520;783,94;variante absente;DeWalt DCS520
DCS520T1-QW;692,84;variante absente;Dewalt DCS520T1-QW Scie circulaire plongeante 54V XR FLEXVOLT - 1 batt
DCS520T2;783,94;variante absente;DeWalt DCS520T2
DCS520T2R;825,68;variante absente;DeWalt DCS520T2R
DCS520X1-QW;767,42;variante absente;Dewalt DCS520X1-QW Scie circulaire plongeante 54V XR FLEXVOLT - 1 batt
DCS520X2-QW;886,42;variante absente;Dewalt DCS520X2-QW Scie circulaire plongeante 54V XR FLEXVOLT - 2 batt
DCS565;377;variante absente;DeWalt DCS565
DCS565P2-QW;377;variante absente;DeWalt DCS565P2-QW (2 x 5,0 Ah + chargeur + coffret)
DCS565T1;391;variante absente;DeWalt DCS565T1 Scie Circulaire sans Fil 54V/18V 6,0Ah (DCS565T1)
DCS565T2;515;variante absente;DeWalt DCS565T2 Scie Circulaire sans Fil 54V/18V 6,0Ah (DCS565T2)
DCS570H2T;427,49;variante absente;DeWalt DCS570H2T
DCS570M1;291,42;variante absente;DeWalt DCS570M1
DCS570M2;352,47;variante absente;DeWalt DCS570M2
DCS570M2-QW;359,74;variante absente;Dewalt DCS570M2-QW Scie circulaire XR Li-Ion 18V Brushless + 2 x 4.0Ah
DCS570NT;207,41;variante absente;DeWalt DCS570NT
DCS570P1;298,39;variante absente;DeWalt DCS570P1 (1x 5,0 Ah + chargeur)
DCS570P1-QW;306,84;variante absente;Dewalt DCS570P1-QW Scie circulaire XR Li-Ion 18V Brushless + 1 x 5.0Ah
DCS570P1T;308;variante absente;DeWalt DCS570P1T (1 x 5,0 Ah)
DCS570P2;367,47;variante absente;DeWalt DCS570P2 (2x 5,0 Ah + chargeur)
DCS571E1T;289,72;variante absente;DeWalt DCS571E1T
DCS571NT-XJ;190,18;variante absente;DeWalt DCS571NT-XJ
DCS571P2-QW;398,14;variante absente;DeWalt DCS571P2-QW
DCS572;233,77;variante absente;DeWalt DCS572
DCS572H1;430,62;variante absente;DeWalt DCS 572 H1 Scie circulaire portative sans fil 18 V 184 mm Brush
DCS572H1-QW;394,75;variante absente;Dewalt DCS572H1-QW Scie circulaire XR 18V 184 mm - 1 X 5.0 Ah batterie
DCS572H2-QW;548,29;variante absente;Dewalt DCS572H2-QW Scie circulaire XR 18V 184 mm - 2 X 5.0 Ah batterie
DCS572M1;359,94;variante absente;DeWalt DCS 572 M1 Scie circulaire portative sans fil 18 V 184 mm Brush
DCS572M2;437,05;variante absente;DeWalt DCS572M2 (2x 4.0 Ah battery + charger + T-STAK)
DCS572N;249,79;variante absente;DeWalt DCS572N
DCS572P1;384,03;variante absente;DeWalt DCS572P1 (1x 5.0 Ah battery + charger + T-STAK)
DCS572P1-QW;384,61;variante absente;Dewalt DCS572P1-QW Scie circulaire XR 18V 184 mm - 1 X 5.0 Ah batterie
DCS572P2;446,69;variante absente;DeWalt DCS572P2 (2x 5.0 Ah battery + charger + T-STAK)
DCS572P2-QW;433,2;variante absente;DeWalt DCS572P2-QW
DCS573;256,1;variante absente;DeWalt DCS573
DCS573H2T;500,86;variante absente;DeWalt DCS573H2T
DCS573H2T-QW;500,86;variante absente;DeWalt DCS573H2T-QW
DCS573T1-QW;534,54;variante absente;DeWalt DCS573T1-QW XR
DCS575NT;421,6;variante absente;DeWalt DCS575NT 54 Volt XR FLEXVOLT (sans batterie en boîte T STAK VI)
DCS575T2;684,73;variante absente;DeWalt DCS575T2
DCS577T2;781,99;variante absente;DeWalt DCS577T2
DCS578N-XJ;343,48;variante absente;DeWalt DCS578N-XJ
DCS578NTA;789,69;variante absente;DeWALT - Scie circulaire sans fil 54 V, 190 mm, avec accessoires, 3 ba
DCS578T2;699,59;variante absente;DeWalt DCS578T2
DCS578X2-QW;745,11;variante absente;DeWalt DCS578X2-QW
DCS579;278,42;variante absente;DeWalt DCS579
DCS579NTA;833,67;variante absente;DeWALT - Scie circulaire sans fil 54 V, 190 mm, avec accessoires, 3 ba
DCS579T1-QW;498,32;variante absente;Dewalt DCS579T1-QW Scie circulaire Ø190mm 54V Brushless - 1X6.0Ah Batt
DCS579T2;639,74;variante absente;DeWalt DCS579T2
DCS579X1-QW;554,16;variante absente;Dewalt DCS579X1-QW Scie circulaire Ø190mm 54V Brushless - 1X9.0Ah Batt
DCS579X2-QW;666,43;variante absente;DeWalt DCS579X2-QW
DCS690X2-XJ;1188,15;variante absente;DeWalt DCS690X2-XJ (avec 2 batteries 54V 162 Wh Li-Ion)
DCS691X2;908,06;variante absente;DeWALT DCS691X2 Découpeuse a disque sans fil FlexVolt (230mm/54V/2x9,0
DCS691X2-QW;885,78;variante absente;DeWalt DCS691X2-QW (2 x 9,0 Ah + chargeur)
DCS727T2-QW;986,1;variante absente;DeWalt DCS727T2-QW
DCS7485N;568,02;variante absente;DeWalt DCS7485N 54 V XR FLEXVOLT (Solo)
DCS7485T2;1011,49;variante absente;DeWalt DCS7485T2 (2 x 54V XR FLEXVOLT Akkus)
DCS777T2;925,76;variante absente;DeWalt DCS777T2
DCV100E1;180,27;variante absente;DeWalt DCV 100 E1 Souffleur / Souffleuse de feuilles 18 V + 1x batteri
DCV100E2;247,74;variante absente;DeWalt DCV 100 E2 Souffleur / Souffleur de feuilles 18 V + 2x Powersta
DCV501HB;160,56;variante absente;DEWALT DCV501HB, aspirateur, mélange, jaune, taille unique
DCV501LM1;254,47;variante absente;DeWalt DCV 501 LM1 Aspirateur sans fil 18 V 0,7 l e poussière L + 1x b
DCV501LM2;315,52;variante absente;DeWalt DCV 501 LM2 Aspirateur sans fil 18 V 0,7 l e poussière L + 2x b
DCV501LP1;257,68;variante absente;DeWalt DCV 501 LP1 Aspirateur sans fil 18 V 0,7 l e poussière L + 1x b
DCV501LP2;326,76;variante absente;DeWalt DCV 501 LP2 Aspirateur sans fil 18 V 0,7 l e poussière L + 2x b
DCV517B;174,58;variante absente;DEWALT DCV517B Baretool 20V MAX Cordless 1/2 gallon Wet/Dry Portable V
DCV517D1-QW;191,73;variante absente;Dewalt DCV517D1-QW XR aspirateur sans fil 18V + 1x2.0Ah Batterie + Cha
DCV517M1-QW;208,75;variante absente;Dewalt DCV517M1-QW XR aspirateur sans fil 18V + 1x4.0Ah Batterie + Cha
DCV517P1;230,37;variante absente;DeWalt DCV 517 P1 Aspirateur à main sans fil 18 V 1,9 L + 1x batterie 
DCV517P1-QW;219,74;variante absente;Dewalt DCV517P1-QW XR aspirateur sans fil 18V + 1x5.0Ah Batterie + Cha
DCV517P2;296,24;variante absente;DeWalt DCV 517 P2 Aspirateur à main sans fil 18 V 1,9 L + 2x batterie 
DCV586MK-XJ;404;variante absente;DeWalt DCV586MK-XJ
DCV586MT2;636,18;variante absente;DeWalt DCV586MT2
DCV586MT2-GB;931,88;variante absente;DeWalt DCV586MT2-GB
DCW200D1;232,45;variante absente;Dewalt DCW200D1 Ponceuse vibrante sans fil 18 V 108x115 mm + 1 x 2,0Ah
DCW200D2;258,63;variante absente;Dewalt DCW200D2 Ponceuse vibrante sans fil 18 V 108x115 mm + 2 x 2,0Ah
DCW200M1;244,25;variante absente;Dewalt DCW200M1 Ponceuse vibrante sans fil 18 V 108x115 mm + 1 x 4,0Ah
DCW200M2;294,24;variante absente;Dewalt DCW200M2 Ponceuse vibrante sans fil 18 V 108x115 mm + 2 x 4,0Ah
DCW200N-XJ;136,8;variante absente;DeWalt DCW200N-XJ
DCW200NT;145,76;variante absente;DeWalt DCW200NT
DCW200P1;258,21;variante absente;Dewalt DCW200P1 Ponceuse vibrante sans fil 18 V 108x115 mm + 1 x 5,0Ah
DCW200P2;312,19;variante absente;DeWalt DCW200P2
DCW210D1;239,28;variante absente;Dewalt DCW210D1 Ponceuse excentrique 125 mm 18V Brushless + en TSTAK +
DCW210M1;265,15;variante absente;DeWalt DCW 210 M1 Ponceuse excentrique sans fil et sans balais 18V 12.
DCW210M2;326,2;variante absente;DeWalt DCW210M2
DCW210P1;255,51;variante absente;DeWalt DCW210P1 (1 x 5,0 Ah + chargeur)
DCW210P2;293,83;variante absente;DeWalt DCW210P2
DCW220N;255,85;variante absente;DeWalt DCW220N
DCW220P2;433,32;variante absente;DeWalt DCW220P2
DCW604D1;498,8;variante absente;DeWalt DCW604D1
DCW604M2;518,98;variante absente;DeWalt DCW604M2
DCW604N;303,95;variante absente;DeWalt DCW604N
DCW604P1-QW;438,26;variante absente;Dewalt DCW604P1-QW Affleureuse-défonceuse XR 18V 1 x 5Ah Li-ion en cof
DCW604P1T;491;variante absente;DeWalt DCW604P1T
DCW604P2;467,15;variante absente;DeWalt DCW604P2 XR 18V LI-ION 5,0AH
DCW620;379,14;variante absente;DeWalt DCW620
DCW620H2-QW;707,32;variante absente;DeWalt DCW620H2-QW
DCW682;269;variante absente;DeWalt DCW682
DCW682N;277,14;variante absente;DeWalt DCW682N
DCW682P2-QW;459,9;variante absente;DeWalt DCW682P2-QW
DGN845N;991,44;variante absente;DeWalt DGN845N Trak-It XR 18V Cloueuse à Béton sans Fil C6 13-40mm (DG
DNF25R50E;104,78;variante absente;DEWALT dnf25r50e - Clous tête Ronde Strass en Bobine 2,5 x 50 mm
DNF25R55S316E;359,4;variante absente;DEWALT PowerCoil ongles DNF 55 mm 5.94 KST. Bague S316, 1 pièce, dnf25
DNF25R64G12E;102,71;variante absente;DEWALT PowerCoil ongles DNF 64 mm 7.2 KST. Bague Galv., 1 pièce, dnf25
DNF25R70E;97,99;variante absente;DEWALT PowerCoil ongles DNF 70 mm 7.2 KST. Bague Tige, 1 pièce, dnf25r
DNF28R55E;129,03;variante absente;DEWALT PowerCoil ongles DNF 55 mm 7,5 KST. Bague Tige, 1 pièce, dnf28r
DNF28R60G12E;120,68;variante absente;DEWALT PowerCoil ongles DNF 60 mm 7,5 KST. Bague Galv., 1 pièce, dnf28
DNF28R65G12E;115,09;variante absente;DEWALT PowerCoil ongles DNF 65 mm 6 KST. Bague Galv., 1 pièce, dnf28r6
DNF28R80E;78,91;variante absente;DEWALT dnf28r80e PowerCoil ongles DNF 80 mm 6 KST. Anneau Tige, Lot de
DNM40R50GZ;126,38;variante absente;DeWALT DNM40R50GZ Clous anneau GAL, Argent, 4x50mm Set de 2000 Pieces
DNM40R60GZ;109,99;variante absente;DeWalt Clous d'ancrage tige annulaire galvanisé 60mm 33 degrés 2000 pi
DNN20R32S316E;305,27;variante absente;DEWALT DNN20R32S316E Coil Clou 2.03-32 Ring Ss316 10.5 M
DNN20R35E;79,05;variante absente;DEWALT DNN20R35E Coil Clou 2.03-35 Ring 21 M
DNN20R35G12E;99,87;variante absente;DEWALT PowerCoil ongles Dnn, galvanisé, 24,5 K Stück, DNN20R35G12E
DNN20R38G12E;107,36;variante absente;DEWALT PowerCoil ongles Dnn, galvanisé, 24,5 K Stück, DNN20R38G12E
DNN20R38S316E;215,89;variante absente;DEWALT DNN20R38S316E Clous en bobine série N tête ronde, angle 15° Rin
DNN20R45G12E;159,5;variante absente;DEWALT PowerCoil ongles Dnn, galvanisé, 24,5 K Stück, DNN20R45G12E
DNN20R45S316E;239,54;variante absente;DEWALT DNN20R45S316E Boulons en bobine Série N Tête ronde, Angle 15° R
DNN20R55E;77,7;variante absente;DEWALT DNN20R55E Clous en bobine série N tête ronde, angle 15° Ring no
DNN20R55S316E;133,55;variante absente;DEWALT DNN20R55S316E Coil Clou 2.03-55 Ring Ss316 7M
DNPT28R;83,19;variante absente;Pack de 2200 pointes crantées électro-zinguées 33° DEWALT DNPT28R
DNPT28R63SZ;107,92;variante absente;DeWALT DNPT28R63SZ Clous en bande papier DNPT, cranté, inoxydable, 63 
DNPT28R63Z;92,04;variante absente;Dewalt DNPT28R63Z Pointes en bande papier 33° crantées 2.8x63mm
DNPT28R75G12Z;80,83;variante absente;Pointes crantées galvanisées DEWALT 2,8 x 75 mm - Boite de 2200 - DNPT
DNPT31R90HDZ;89,69;variante absente;Pointes crantées galvanisées à chaud DEWALT 3,1 x 90 mm - Boite de 120
DNPT31R90Z;79,91;variante absente;DeWalt DNPT31R90Z Pointes en bande papier 33° crantées 3.1x90mm Argent
DNW28R50E;78,26;variante absente;Clous bande métal 33° brillant 50 mm DNW28R50E
DNW28R50G12E;82,81;variante absente;DeWalt DNW28R50G12E
DNW28R70E;80,18;variante absente;DEWALT DNW28R70E Lot de 2200 clous pour cloueuse sans fil, inclinés à 
DNW28R75E;94,4;variante absente;DeWalt DNW28R75E - Tête ronde brillante pour cadre 2,8 x 75 mm Argent 
DNW28R75G12E;81,32;variante absente;DEWALT DNW28R75G12E Clou, Argent, Taille 34/75 mm, Set de 2200 Pièces
DNW31R75E;86,83;variante absente;DeWalt DNW31R75E Pointes en Bande Métal 34° Crantées, 3.1mm x 75mm, Ar
DNW31R90G12E;86,25;variante absente;DEWALT DNW31R90G12E
DPN1850-XJ;155,68;variante absente;DeWalt DPN1850-XJ
DPN9033SM;753,3;variante absente;DeWalt DPN9033SM
DW088;108;variante absente;DeWalt DW088
DW088CGTRI;250,39;variante absente;DeWalt DW088CGTRI
DW088KD-XJ;246,31;variante absente;DeWalt DW088KD-XJ
DW088KPOL;277;variante absente;DeWalt DW088KPOL
DW088KTRI;177,14;variante absente;DeWalt DW088KTRI
DW089CG-XJ;303,08;variante absente;DeWalt DW089CG-XJ
DW089LG;138,55;variante absente;Niveau Laser Vert 3 Lignes 360° DEWALT DW089LG 12V Autonivelant Pro
DW274K;202,8;variante absente;DeWalt DW274K
DW274KN;225,92;variante absente;DeWalt DW274KN
DW331KT;259,26;variante absente;DeWalt DW331KT
DW621K-QS;387,55;variante absente;DeWalt DW621K-QS
DW621KT;399;variante absente;DeWalt DW621KT
DW680;218,1;variante absente;DeWalt DW680
DWD024;129,61;variante absente;DeWalt DWD024 650W
DWD024K;79,99;variante absente;DeWalt DWD024K
DWE305;144,91;variante absente;DeWalt DWE305
DWE315KT;139,01;variante absente;DeWalt DWE315KT
DWE315KTA;199,89;variante absente;DeWALT - Ponceuse multi-fonction oscillante 300 W, avec accessoires DW
DWE315SF-QS;129,99;variante absente;Outil multifonction filaire 230V DEWALT DWE315SF-QS 300W
DWE4206K;176,99;variante absente;DeWalt DWE4206K
DWE4207K;86,9;variante absente;DeWalt DWE4207K
DWE4217KT;234,29;variante absente;DeWalt DWE4217KT
DWE4237K-QS;125,4;variante absente;Meuleuse 1400 W 125 mm interrupteur glissière + coffret DEWALT DWE4237
DWE4257;125,99;variante absente;DeWalt DWE4257
DWE4257KTA;323,53;variante absente;DeWALT - Meuleuse d'angle 125 mm, 1500 W, avec accessoires DWE4257KTA
DWE4579R-QS;439,71;variante absente;DeWalt DWE4579R-QS
DWE492DUO2;183,12;variante absente;DeWalt DWE492DUO2
DWE492GK;225,46;variante absente;Ensemble d'outils DeWALT DWE492GK
DWE492GK-QS;292,24;variante absente;DEWALT DWE492GK-QS meuleuse d'angle 230 mm 2200 W + casque + disque di
DWE492K;152,21;variante absente;DeWalt DWE492K
DWE492S;117,62;variante absente;DeWalt DWE492S
DWE492SDT-QS;256,92;variante absente;DeWalt DWE492SDT-QS
DWE492TWIN2;241,56;variante absente;Meuleuse d'angle DeWALT 230 mm DWE492TWIN2
DWE492TWIN2-QS;363,7;variante absente;Duo de meuleuses 125/230 mm DEWALT DWE492TWIN2-QS
DWE494TWIN;229,99;variante absente;DeWalt DWE494TWIN
DWE560K;146,1;variante absente;DeWalt DWE560K
DWE576KR-QS;294,9;variante absente;DeWalt DWE576KR-QS
DWE625;431,28;variante absente;DeWalt DWE625
DWE625-QS;431,28;variante absente;DeWalt DWE625-QS
DWE7485RS-QS;576,68;variante absente;DeWalt DWE7485RS-QS + DE7400-XJ
DWH161;279;variante absente;DeWalt DWH161 Aspirateur Filtre HEPA, 18V, TSTAK II (DWH161D1T-7)
DWH161D2T-7;313;variante absente;DeWalt DWH161D2T-7 Aspirateur 2x2,0Ah avec DCB107 et TSTAK II (DWH161D
DWH161N;154,81;variante absente;DeWalt DWH161N Universal
DWH161P2T;376;variante absente;DeWalt DWH161P2T Aspirateur 2x5,0Ah avec DCB115 et TSTAK II (DWH161P2T
DWK1100;2253;variante absente;DeWalt DWK1100 (3 x 5,0 Ah + chariot 3in1)
DWK1101;2509;variante absente;DeWalt DWK1101 (3 x 5,0 Ah + chariot 3en1)
DWK1102;2387;variante absente;DeWalt DWK1102 (3 x 5,0 Ah + caddy 3in1)
DWK1103;2431;variante absente;DeWalt DWK1103 (3 x 5,0 Ah + chariot 3en1)
DWK1200;2519;variante absente;DeWalt DWK1200 (3 x 5,0 Ah + caddy 3in1)
DWK1201;2618;variante absente;DeWalt DWK1201 (3 x 5,0 Ah + caddy 3in1)
DWK1202;2453;variante absente;DeWalt DWK1202 (3 x 5,0 Ah + caddy 3in1)
DWK1203;2607;variante absente;DeWalt DWK1203 (3 x 5,0 Ah + caddy 3in1)
DWK600;1474;variante absente;DeWalt DWK600 (3 x 5,0 Ah + Chariot 3in1)
DWK601;1661;variante absente;DeWalt DWK601 (3 x 5,0 Ah + chariot 3en1)
DWK700;1716;variante absente;DeWalt DWK700 (3 x 5,0 Ah + Chariot 3en1)
DWK701;1780;variante absente;DeWalt DWK701 (3 x 5,0 Ah + Chariot 3in1)
DWK702;1620;variante absente;DeWalt DWK702 (3 x 5,0 Ah + caddy 3in1)
DWK800;1714;variante absente;DeWalt DWK800 (3 x 5,0 Ah + chariot 3en1)
DWK801;1837;variante absente;DeWalt DWK801 (3 x 5,0 Ah + chariot 3en1)
DWK802;1686;variante absente;DeWalt DWK802 (3 x 5,0 Ah + caddy 3in1)
DWK803;1843;variante absente;DeWalt DWK803 (3 x 5,0 Ah + chariot 3in1)
DWK804;1714;variante absente;DeWalt DWK804 (3 x 5,0 Ah + Chariot 3en1)
DWK805;1925;variante absente;DeWalt DWK805 (3 x 5,0 Ah + Chariot 3in1)
DWK900;1903;variante absente;DeWalt DWK900 (3 x 5,0 Ah + caddy 3in1)
DWK901;2036;variante absente;DeWalt DWK901 (3 x 5,0 + trolley 3in1)
DWS520;335,11;variante absente;DeWalt DWS520
DWS520K;369;variante absente;DeWalt DWS520K
DWS520KTR;403,09;variante absente;DeWalt DWS520KTR
DWV905H;1288,36;variante absente;DeWalt DWV905H Aspirateur Classe H 38L 1400W 240V (DWV905H-GB)
DWV905H-LX;1278,85;variante absente;DeWalt DWV905H-LX Aspirateur Classe H 38L 1400W 110V (DWV905H-LX)
DWV905H-QS;661,73;variante absente;DeWalt DWV905H-QS
DWV905MKIT-QS;756,98;variante absente;DeWalt DWV905MKIT-QS
DXCMB75T500HFE;2065,97;variante absente;DeWalt DXCMB75T500HFE - Compresseur d'air électrique triphasé par cour
DXCMS2550VE;339;variante absente;DeWalt DXCMS2550VE
DXMA1902093;124,99;variante absente;DeWalt Casque Tour de Cou Bluetooth 2-en-1 avec Haut-parleurs Intégrés
DXPW001CE;518,52;variante absente;DeWalt DXPW001CE
DXPW001DTS;353,47;variante absente;DeWalt DXPW001DTS
DXPW001ME;345,98;variante absente;DeWalt DXPW001ME
DXPW002E;833,76;variante absente;DeWalt DXPW002E
DXPW002I;347,2;variante absente;DeWalt DXPW002I Nettoyeur Haute Pression - 2200 W - 160 Bars
DXPW002M;358,56;variante absente;DeWALT Pressure washer 230V DXPW002M DEWALT
DXPW002ME;345,99;variante absente;DeWalt DXPW002ME
DXPW003;565;variante absente;DEWALT DXPW003 - Nettoyeur haute pression semi-professionnel à eau fro
DXPW003H;695;variante absente;DEWALT DXPW003H - Nettoyeur haute pression semi-professionnel à eau fr
